validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.1197,0.0,0.238225,4764.5,0.5023,3000,17000,359,0
Selective: Origin Only,0.395,0.0,0.5,10000.0,0.79,3000,17000,1185,0
Origin + 1st Hop,0.552,0.0,0.996475,19929.5,0.554,3000,17000,1656,0
Origin + Last Hop,0.5393,0.0,0.996475,19929.5,0.5412,3000,17000,1618,0
Origin + 1st + Last,0.6387,0.0,1.4678,29356.0,0.4351,3000,17000,1916,0
Origin + 2 Hops + Last,0.6787,0.0,1.79325,35865.0,0.3785,3000,17000,2036,0
BGPsec (Full Path),0.6863,0.0,1.890975,37819.5,0.363,3000,17000,2059,0
Anomaly Detector,0.6797,0.0016,0.05,1000.0,13.5933,3000,17000,2039,28
Delta Trust,0.6863,0.0,1.523775,30475.5,0.4504,3000,17000,2059,0
ASPA (50%),0.6863,0.0,0.038142,762.83,17.9944,3000,17000,2059,0
OTC (50%),0.3497,0.0,0.01587,317.4,22.0332,3000,17000,1049,0
GNN Anomaly Detector,0.2457,0.03,1.5,30000.0,0.1638,3000,17000,737,510
Selective + Anomaly,0.852,0.0016,1.5178,30356.0,0.5613,3000,17000,2556,28
Path Plausibility,0.7547,0.0,4.843812,96876.23,0.1558,3000,17000,2264,0
