validator,origin_hijack,path_fabrication,path_shortening,route_leak_type1_full_prefix,route_leak_type2_lateral,route_leak_type3_intentional
RPKI,0.3043,0.0,0.0,0.0,0.0,0.0
Selective: Origin Only,0.913,0.0,0.7059,0.0,0.0,0.0
Origin + 1st Hop,0.913,0.625,1.0,0.0,0.0,0.0
Origin + Last Hop,0.913,0.775,0.9412,0.0,0.0,0.0
Origin + 1st + Last,0.913,0.975,1.0,0.0,0.0,0.0
Origin + 2 Hops + Last,0.913,1.0,1.0,0.0,0.0,0.0
BGPsec (Full Path),0.913,1.0,1.0,0.0,0.0,0.0
Anomaly Detector,0.9348,0.65,0.5882,0.3478,0.9,0.2308
Delta Trust,0.913,1.0,1.0,0.0,0.0,0.0
ASPA (50%),0.913,1.0,1.0,0.0,0.0,0.0
OTC (50%),0.0,0.0,0.0,1.0,1.0,1.0
GNN Anomaly Detector,0.2391,0.65,0.7647,0.6522,0.95,0.3077
Selective + Anomaly,0.9348,1.0,1.0,0.3478,0.9,0.2308
Path Plausibility,0.913,1.0,1.0,0.4348,0.25,0.2308
