validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.0881,0.0,0.252804,201.99,0.3483,159,640,14,0
Selective: Origin Only,0.3396,0.0,0.5,399.5,0.6792,159,640,54,0
Origin + 1st Hop,0.5283,0.0,0.983104,785.5,0.5374,159,640,84,0
Origin + Last Hop,0.5597,0.0,0.983104,785.5,0.5694,159,640,89,0
Origin + 1st + Last,0.6164,0.0,1.365457,1091.0,0.4514,159,640,98,0
Origin + 2 Hops + Last,0.6226,0.0,1.467459,1172.5,0.4243,159,640,99,0
BGPsec (Full Path),0.6226,0.0,1.49562,1195.0,0.4163,159,640,99,0
Anomaly Detector,0.6792,0.0,0.05,39.95,13.5849,159,640,108,0
Delta Trust,0.6226,0.0,1.305995,1043.49,0.4768,159,640,99,0
ASPA (50%),0.6226,0.0,0.028961,23.14,21.4992,159,640,99,0
OTC (50%),0.3522,0.0,0.015557,12.43,22.6395,159,640,56,0
GNN Anomaly Detector,0.5535,0.0312,1.5,1198.5,0.369,159,640,88,20
Selective + Anomaly,0.8113,0.0,1.415457,1130.95,0.5732,159,640,129,0
Path Plausibility,0.7358,0.0,4.528773,3618.49,0.1625,159,640,117,0
