validator,fpr,tpr,auc
GNN Anomaly Detector,0.0,0.0,0.9564999999999999
GNN Anomaly Detector,0.0,0.2,0.9564999999999999
GNN Anomaly Detector,0.0,0.45,0.9564999999999999
GNN Anomaly Detector,0.01,0.45,0.9564999999999999
GNN Anomaly Detector,0.01,0.65,0.9564999999999999
GNN Anomaly Detector,0.02,0.65,0.9564999999999999
GNN Anomaly Detector,0.02,0.95,0.9564999999999999
GNN Anomaly Detector,0.71,0.95,0.9564999999999999
GNN Anomaly Detector,0.71,1.0,0.9564999999999999
GNN Anomaly Detector,1.0,1.0,0.9564999999999999
Path Plausibility,0.0,0.0,0.9885
Path Plausibility,0.0,0.05,0.9885
Path Plausibility,0.0,0.9,0.9885
Path Plausibility,0.02,0.9,0.9885
Path Plausibility,0.02,0.95,0.9885
Path Plausibility,0.21,0.95,0.9885
Path Plausibility,0.21,1.0,0.9885
Path Plausibility,1.0,1.0,0.9885
