validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.0769,0.0,0.213518,42.49,0.3603,39,160,3,0
Selective: Origin Only,0.359,0.0,0.5,99.5,0.7179,39,160,14,0
Origin + 1st Hop,0.5385,0.0,0.957286,190.5,0.5625,39,160,21,0
Origin + Last Hop,0.5641,0.0,0.957286,190.5,0.5893,39,160,22,0
Origin + 1st + Last,0.5897,0.0,1.228643,244.5,0.48,39,160,23,0
Origin + 2 Hops + Last,0.5897,0.0,1.268844,252.5,0.4648,39,160,23,0
BGPsec (Full Path),0.5897,0.0,1.276382,254.0,0.462,39,160,23,0
Anomaly Detector,0.6923,0.0,0.05,9.95,13.8462,39,160,27,0
Delta Trust,0.5897,0.0,1.145678,227.99,0.5148,39,160,23,0
ASPA (50%),0.5897,0.0,0.027286,5.43,21.6131,39,160,23,0
OTC (50%),0.359,0.0,0.017337,3.45,20.7061,39,160,14,0
GNN Anomaly Detector,0.9487,0.0312,1.5,298.5,0.6325,39,160,37,5
Selective + Anomaly,0.8205,0.0,1.278643,254.45,0.6417,39,160,32,0
Path Plausibility,0.8718,0.0,4.192462,834.3,0.2079,39,160,34,0
