validator,origin_hijack,path_fabrication,path_shortening,route_leak_type1_full_prefix,route_leak_type2_lateral,route_leak_type3_intentional
RPKI,0.488,0.0,0.0,0.0,0.0,0.0
Selective: Origin Only,0.9157,0.0083,0.6796,0.0,0.0,0.275
Origin + 1st Hop,0.9157,0.595,0.9417,0.0,0.0,0.325
Origin + Last Hop,0.9157,0.5537,0.9515,0.0,0.0,0.275
Origin + 1st + Last,0.9157,0.9091,1.0,0.0,0.0,0.325
Origin + 2 Hops + Last,0.9157,0.9917,1.0,0.0,0.0,0.325
BGPsec (Full Path),0.9157,1.0,1.0,0.0,0.0,0.325
Anomaly Detector,0.9337,0.5537,0.5437,0.4124,0.8493,0.15
Delta Trust,0.9157,1.0,1.0,0.0,0.0,0.325
ASPA (5%),0.9157,1.0,1.0,0.0,0.0,0.325
OTC (50%),0.0,0.0,0.0,1.0,1.0,1.0
GNN Anomaly Detector,0.0843,0.3306,0.5049,0.6082,0.4932,0.375
Selective + Anomaly,0.9337,0.9917,1.0,0.4124,0.8493,0.475
Path Plausibility,0.9398,1.0,1.0,0.6392,0.5068,0.725
