validator,origin_hijack,path_fabrication,path_shortening,route_leak_type1_full_prefix,route_leak_type2_lateral,route_leak_type3_intentional
RPKI,0.4639,0.0,0.0,0.0,0.0,0.0
Selective: Origin Only,0.9381,0.0148,0.6631,0.0,0.0,0.2597
Origin + 1st Hop,0.9381,0.5862,0.9412,0.0,0.0,0.3377
Origin + Last Hop,0.9381,0.5862,0.9572,0.0,0.0,0.2597
Origin + 1st + Last,0.9381,0.8966,1.0,0.0,0.0,0.3377
Origin + 2 Hops + Last,0.9381,0.9901,1.0,0.0,0.0,0.3377
BGPsec (Full Path),0.9381,1.0,1.0,0.0,0.0,0.3377
Anomaly Detector,0.9553,0.6552,0.5508,0.4506,0.8203,0.2078
Delta Trust,0.9381,1.0,1.0,0.0,0.0,0.3377
ASPA (50%),0.9381,1.0,1.0,0.0,0.0,0.3377
OTC (50%),0.0,0.0,0.0,1.0,1.0,1.0
GNN Anomaly Detector,0.1134,0.3054,0.4545,0.5062,0.3906,0.4805
Selective + Anomaly,0.9553,0.9803,1.0,0.4506,0.8203,0.5195
Path Plausibility,0.945,1.0,1.0,0.3395,0.1719,0.6623
