validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.1288,0.0,0.240654,721.48,0.5353,1048,1950,135,0
Selective: Origin Only,0.4008,0.0,0.5,1499.0,0.8015,1048,1950,420,0
Origin + 1st Hop,0.5668,0.0,0.98499,2953.0,0.5754,1048,1950,594,0
Origin + Last Hop,0.5639,0.0,0.98499,2953.0,0.5725,1048,1950,591,0
Origin + 1st + Last,0.6374,0.0,1.395597,4184.0,0.4567,1048,1950,668,0
Origin + 2 Hops + Last,0.6555,0.0,1.584223,4749.5,0.4138,1048,1950,687,0
BGPsec (Full Path),0.6574,0.0,1.640927,4919.5,0.4007,1048,1950,689,0
Anomaly Detector,0.6756,0.0,0.05,149.9,13.5115,1048,1950,708,0
Delta Trust,0.6574,0.0,1.350227,4047.98,0.4869,1048,1950,689,0
ASPA (50%),0.6574,0.0,0.031948,95.78,20.5785,1048,1950,689,0
OTC (50%),0.3502,0.0,0.016624,49.84,21.0649,1048,1950,367,0
GNN Anomaly Detector,0.333,0.0303,1.5,4497.0,0.222,1048,1950,349,59
Selective + Anomaly,0.8416,0.0,1.445597,4333.9,0.5822,1048,1950,882,0
Path Plausibility,0.7567,0.0,4.59505,13775.96,0.1647,1048,1950,793,0
