validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.135,0.0,0.242833,728.5,0.5559,600,2400,81,0
Selective: Origin Only,0.39,0.0,0.5,1500.0,0.78,600,2400,234,0
Origin + 1st Hop,0.5567,0.0,0.986667,2960.0,0.5642,600,2400,334,0
Origin + Last Hop,0.5467,0.0,0.986667,2960.0,0.5541,600,2400,328,0
Origin + 1st + Last,0.63,0.0,1.4025,4207.5,0.4492,600,2400,378,0
Origin + 2 Hops + Last,0.6467,0.0,1.576,4728.0,0.4103,600,2400,388,0
BGPsec (Full Path),0.6483,0.0,1.610833,4832.5,0.4025,600,2400,389,0
Anomaly Detector,0.6433,0.0,0.05,150.0,12.8667,600,2400,386,0
Delta Trust,0.6483,0.0,1.333833,4001.5,0.4861,600,2400,389,0
ASPA (50%),0.6483,0.0,0.031987,95.96,20.2689,600,2400,389,0
OTC (50%),0.35,0.0,0.01662,49.86,21.059,600,2400,210,0
GNN Anomaly Detector,0.36,0.03,1.5,4500.0,0.24,600,2400,216,72
Selective + Anomaly,0.8317,0.0,1.4525,4357.5,0.5726,600,2400,499,0
Path Plausibility,0.7333,0.0004,4.587773,13763.32,0.1598,600,2400,440,1
