validator,origin_hijack,path_fabrication,path_shortening,route_leak_type1_full_prefix,route_leak_type2_lateral,route_leak_type3_intentional
RPKI,0.494,0.0,0.0,0.0,0.0,0.0
Selective: Origin Only,0.9107,0.0,0.6,0.0,0.0,0.1714
Origin + 1st Hop,0.9107,0.5868,0.93,0.0,0.0,0.2
Origin + Last Hop,0.9107,0.6281,0.89,0.0,0.0,0.1714
Origin + 1st + Last,0.9107,0.9174,1.0,0.0,0.0,0.2
Origin + 2 Hops + Last,0.9107,0.9835,1.0,0.0,0.0,0.2
BGPsec (Full Path),0.9107,1.0,1.0,0.0,0.0,0.2
Anomaly Detector,0.9524,0.5289,0.49,0.3789,0.8,0.2286
Delta Trust,0.9107,1.0,1.0,0.0,0.0,0.2
ASPA (50%),0.9107,1.0,1.0,0.0,0.0,0.2
OTC (50%),0.0,0.0,0.0,1.0,1.0,1.0
GNN Anomaly Detector,0.2679,0.6446,0.7,0.6105,0.75,0.4857
Selective + Anomaly,0.9524,0.9917,1.0,0.3789,0.8,0.4286
Path Plausibility,0.9167,1.0,1.0,0.3789,0.125,0.3714
