validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.1386,0.0,0.233241,699.49,0.5941,599,2400,83,0
Selective: Origin Only,0.3656,0.0,0.5,1499.5,0.7312,599,2400,219,0
Origin + 1st Hop,0.5409,0.0,0.98983,2968.5,0.5465,599,2400,324,0
Origin + Last Hop,0.5409,0.0,0.98983,2968.5,0.5465,599,2400,324,0
Origin + 1st + Last,0.6194,0.0,1.403468,4209.0,0.4413,599,2400,371,0
Origin + 2 Hops + Last,0.6327,0.0,1.583028,4747.5,0.3997,599,2400,379,0
BGPsec (Full Path),0.6361,0.0,1.61904,4855.5,0.3929,599,2400,381,0
Anomaly Detector,0.6361,0.0,0.05,149.95,12.7212,599,2400,381,0
Delta Trust,0.6361,0.0,1.327773,3981.99,0.479,599,2400,381,0
ASPA (50%),0.6361,0.0,0.031797,95.36,20.0036,599,2400,381,0
OTC (50%),0.3506,0.0,0.015655,46.95,22.3941,599,2400,210,0
GNN Anomaly Detector,0.5476,0.03,1.5,4498.5,0.3651,599,2400,328,72
Selective + Anomaly,0.8264,0.0,1.453468,4358.95,0.5686,599,2400,495,0
Path Plausibility,0.7245,0.0008,4.571934,13711.23,0.1585,599,2400,434,2
